"","1-1A","10-2B","11-2C","12-2D","13-2E","14-2F","15-2G","16-2H","17-3A","18-3B","19-3C","2-1B","20-3D","21-3E","22-3F","23-3G","24-3H","25-4A","26-4B","27-4C","28-4D","29-4E","3-1C","30-4F","31-4G","32-4H","33-5A","34-5B","35-5C","36-5D","37-6E","38-5F","39-5G","4-1D","40-5H","5-1E","6-1F","7-1G","8-1H","9-2A"
"Rhodocyclaceae",0.370331613936629,0.35325846253557,0.410757998542522,0.456901457361393,0.489699009370083,0.5294810945972,0.582410725172651,0.511763618130174,0.646611266109007,0.675302480835217,0.463107793241047,0.308626705970513,0.41287501475718,0.489699009370068,0.487672342936456,0.562034556894369,0.537251505465498,0.546870330698812,0.454827380386692,0.491722342245573,0.467231626565028,0.489699009370073,0.3788645391363,0.560154597949882,0.46723162656505,0.479533171944378,0.56015459794988,0.611016185051034,0.507784218780589,0.427649124985358,0.558270140954811,0.586054443072984,0.744837215675304,0.323448592708737,0.527528276027052,0.525571433558744,0.49777193527342,0.5695089418835,0.412875014757176,0.52361059923405
"Rhodoferax",0.0581477215496495,0.0542274916485414,0.0681856138762638,0.0811450231481947,0.0915148663141781,0.105646170997984,0.127706672476452,0.0991232758804596,0.161123723747703,0.179196521020113,0.0830275613711434,0.0447614114472479,0.0687430176310565,0.091514866314173,0.0908427632154942,0.118716196440857,0.108632646768802,0.112442242390846,0.0805237670177834,0.092190208073972,0.0842983018961614,0.0915148663141747,0.0601749399986414,0.117919847671305,0.084298301896168,0.0881865966917739,0.117919847671304,0.141549251502177,0.0977103668636521,0.0727282715082777,0.117126969011149,0.129387065465492,0.234548526724295,0.0477869805237893,0.10490799987315,0.104173195129798,0.094235735081176,0.121936406881627,0.0687430176310556,0.103441750333918
"Rhodomicrobium",0.677532675251775,0.66116802290223,0.713494640334848,0.750340174459953,0.774175531975144,0.8008015724045,0.832845271980339,0.789233872839459,0.867315309979174,0.88137512128764,0.754991376473171,0.614603103040231,0.715277919994044,0.774175531975133,0.772754381028979,0.820931865972707,0.805735213057248,0.81172895139175,0.748770545342661,0.775587818971898,0.758044595059866,0.774175531975137,0.685438667910226,0.819806923005958,0.758044595059881,0.766980160508827,0.819806923005957,0.848750712467165,0.786572853958614,0.727465478728102,0.818674806033642,0.834923162310526,0.912497214065885,0.630714250847836,0.799548518356463,0.798287513098407,0.779771983819555,0.825360779566871,0.715277919994041,0.797018509564162
"Rhodopila",0.0281910678992577,0.0262342149671201,0.0332401282593822,0.0398417552989812,0.0451928985702948,0.0525854015665919,0.0643633992908242,0.0491585557417804,0.0827783222636931,0.0930379693969894,0.0408086281357606,0.0215433984472147,0.0335221367571231,0.0451928985702922,0.0448442004052813,0.0595279349704632,0.0541627589940022,0.0561825696823815,0.0395231201585923,0.0455435401475671,0.0414624233186989,0.0451928985702931,0.029206285900798,0.0591019947470245,0.0414624233187023,0.0434686881411033,0.059101994747024,0.0719059631181474,0.0484195680578255,0.0355434552048917,0.0586782915095561,0.0652726760018376,0.12585722459208,0.0230374353389681,0.0521963392284535,0.0518093712804271,0.0466072027561263,0.0612542383304706,0.0335221367571226,0.0514244895568576
"Rhodopirellula",0.123610048178732,0.11581915903628,0.143230022518161,0.167882699785841,0.187080262179911,0.212516374945892,0.250638979716093,0.200877064207564,0.304977069914209,0.332784448277795,0.171402154460075,0.0967007898863742,0.144305893500317,0.187080262179902,0.185849886592014,0.235328930619787,0.217788251646275,0.224461841516903,0.166717859695713,0.188314653241645,0.173769154467152,0.187080262179905,0.127610279830295,0.233958007223669,0.173769154467164,0.180968740920352,0.233958007223667,0.273626731854906,0.198333065382157,0.15195696641287,0.232590635555721,0.253466917359632,0.411777802788072,0.102859076170526,0.211207824079647,0.209903066978546,0.192041814987496,0.240847829904547,0.144305893500315,0.208602116613873
"Rhodoplanes",0.527002101081552,0.508539489939395,0.569074295664695,0.614456710078385,0.645129524976438,0.680695387865892,0.725435428494368,0.665070101182544,0.776100485618527,0.797569879644401,0.620358591763871,0.458188027892963,0.571216272932731,0.645129524976424,0.643270474324924,0.708545705344476,0.687442702493194,0.695707822945925,0.612473994431015,0.646980848322858,0.624254575014696,0.645129524976429,0.536071617191809,0.706966749218759,0.624254575014716,0.635756946710069,0.706966749218758,0.748474687044518,0.661513779807286,0.586001227892493,0.705380460985277,0.728413120015367,0.846858594813955,0.47525518088577,0.678989669077396,0.677276369832847,0.652488492261325,0.714788558550354,0.571216272932728,0.675555478580869
"Rhodospirillaceae_bacterium",0.141184656377082,0.132453486889605,0.163075092481356,0.190384478599725,0.211501131817633,0.239280260614343,0.280493851122507,0.226596908639308,0.338381708124119,0.367623842202341,0.194265527509715,0.110933782083957,0.164271448574939,0.211501131817623,0.210151666740642,0.264002626007553,0.24500949871444,0.252248226864258,0.189098991655132,0.212854465293501,0.196873244246991,0.211501131817626,0.145659104974655,0.262522009456222,0.196873244247005,0.20479281023709,0.26252200945622,0.305104927937502,0.22381841184535,0.172767362990522,0.261044584178001,0.283531186809891,0.449317946940656,0.117880194713259,0.237856689618619,0.23643665237639,0.216937512725303,0.269956576910382,0.164271448574938,0.235020167813598
"Rickettsiella",0.0281910678992577,0.0262342149671201,0.0332401282593821,0.0398417552989812,0.0451928985702948,0.0525854015665919,0.0643633992908242,0.0491585557417804,0.082778322263693,0.0930379693969894,0.0408086281357606,0.0215433984472147,0.0335221367571231,0.0451928985702922,0.0448442004052813,0.0595279349704632,0.0541627589940021,0.0561825696823815,0.0395231201585923,0.045543540147567,0.0414624233186989,0.045192898570293,0.029206285900798,0.0591019947470245,0.0414624233187023,0.0434686881411033,0.059101994747024,0.0719059631181474,0.0484195680578255,0.0355434552048917,0.0586782915095561,0.0652726760018376,0.12585722459208,0.0230374353389681,0.0521963392284535,0.0518093712804271,0.0466072027561262,0.0612542383304706,0.0335221367571226,0.0514244895568576
"Risungbinella",0.0281910678992577,0.0262342149671201,0.0332401282593821,0.0398417552989812,0.0451928985702948,0.0525854015665919,0.0643633992908242,0.0491585557417804,0.082778322263693,0.0930379693969894,0.0408086281357606,0.0215433984472147,0.0335221367571231,0.0451928985702922,0.0448442004052813,0.0595279349704632,0.0541627589940021,0.0561825696823815,0.0395231201585923,0.045543540147567,0.0414624233186989,0.045192898570293,0.029206285900798,0.0591019947470245,0.0414624233187023,0.0434686881411033,0.059101994747024,0.0719059631181474,0.0484195680578255,0.0355434552048917,0.0586782915095561,0.0652726760018376,0.12585722459208,0.0230374353389681,0.0521963392284535,0.0518093712804271,0.0466072027561262,0.0612542383304706,0.0335221367571226,0.0514244895568576
"Rokubacteriales",0.777370239178484,0.764309678924415,0.805396151237552,0.833186073596585,0.850685956167553,0.869808018904933,0.892244806954475,0.861554815885692,0.915705460020468,0.925080581420648,0.836629891906375,0.7260460935012,0.806762334389911,0.850685956167545,0.849652790698636,0.883975132361527,0.873302948457146,0.877528861678498,0.832020697605673,0.851711405260905,0.838882863368876,0.850685956167547,0.783610251105337,0.883189886268896,0.838882863368888,0.845441717781255,0.883189886268895,0.903155380134657,0.85964450113459,0.816041030752249,0.882398866818059,0.893678568737199,0.945445964094689,0.73947329848318,0.868917994118291,0.868021346550359,0.854742067662023,0.88705930592108,0.806762334389909,0.867118022555709
"Roseiarcus",0.323409148248294,0.307443006947484,0.361655319376773,0.406084185117032,0.438177017783192,0.477691638155051,0.531289934778953,0.460012856709391,0.597924006959214,0.628295782256838,0.412124052460481,0.266217020287741,0.363675457776834,0.438177017783177,0.436181322172703,0.510515768464569,0.485486225992763,0.495169985040889,0.404069161096684,0.440171095157995,0.416145782928821,0.438177017783182,0.331429991294922,0.50860801381869,0.416145782928842,0.428183294644152,0.508608013818688,0.560756211043234,0.45605997728142,0.377821959429013,0.506697200110293,0.5350235938715,0.70347690318763,0.279826518986163,0.475736701405167,0.473779327233494,0.446143156864089,0.518115537499494,0.363675457776831,0.471819555528313
"Roseiflexaceae",0.123610048178732,0.11581915903628,0.143230022518161,0.167882699785841,0.187080262179911,0.212516374945892,0.250638979716093,0.200877064207564,0.304977069914209,0.332784448277795,0.171402154460075,0.0967007898863742,0.144305893500317,0.187080262179902,0.185849886592014,0.235328930619787,0.217788251646275,0.224461841516903,0.166717859695713,0.188314653241645,0.173769154467152,0.187080262179905,0.127610279830295,0.233958007223669,0.173769154467164,0.180968740920352,0.233958007223667,0.273626731854906,0.198333065382157,0.15195696641287,0.232590635555721,0.253466917359632,0.411777802788072,0.102859076170526,0.211207824079647,0.209903066978546,0.192041814987496,0.240847829904547,0.144305893500315,0.208602116613873
"Roseimicrobium",0.419827014565646,0.401928557458145,0.461694745036614,0.508621109136325,0.541430066683471,0.580632942073597,0.631809732470108,0.56325281054738,0.692426392297655,0.719014320516227,0.514863968393313,0.35451838363906,0.463867619133674,0.541430066683456,0.539415615129312,0.612239158127006,0.588215576135177,0.597568562775162,0.506531224326634,0.543439519341228,0.519003157831739,0.54143006668346,0.428723885162475,0.610425325922062,0.51900315783176,0.531308438408359,0.61042532592206,0.659012483702483,0.559331712080974,0.478977833955454,0.608605756850049,0.635292330615396,0.782207091577519,0.370363585726533,0.578723508685217,0.576808603632643,0.549437587768106,0.619436897087154,0.463867619133671,0.574888246953696
"Roseomonas",0.0429451074282887,0.040006278981933,0.0504993233077248,0.0603148453621157,0.0682203557192195,0.0790676876709694,0.096175025995673,0.0740499510101151,0.122499888766692,0.136947616499475,0.0617466046051971,0.0329362356565512,0.0509200460147754,0.0682203557192156,0.0677065820467676,0.0891774212120004,0.0813711844691963,0.0843151894583318,0.0598426811778464,0.068736800049425,0.0627139149424793,0.0682203557192169,0.0444673366599051,0.0885593071647702,0.0627139149424843,0.0656780286534687,0.0885593071647695,0.107019101192036,0.0729654917062265,0.0539318837860229,0.0879441625780208,0.0974868875040644,0.182145357233454,0.0351919498113804,0.0784989257664233,0.0779329921556917,0.0703022397196552,0.0916797376066472,0.0509200460147747,0.0773698785269948
"Rubritaleaceae",0.0429451074282887,0.040006278981933,0.0504993233077248,0.0603148453621157,0.0682203557192195,0.0790676876709694,0.096175025995673,0.0740499510101151,0.122499888766692,0.136947616499475,0.0617466046051971,0.0329362356565512,0.0509200460147754,0.0682203557192156,0.0677065820467676,0.0891774212120004,0.0813711844691963,0.0843151894583318,0.0598426811778464,0.068736800049425,0.0627139149424793,0.0682203557192169,0.0444673366599051,0.0885593071647702,0.0627139149424843,0.0656780286534687,0.0885593071647695,0.107019101192036,0.0729654917062265,0.0539318837860229,0.0879441625780208,0.0974868875040644,0.182145357233454,0.0351919498113804,0.0784989257664233,0.0779329921556917,0.0703022397196552,0.0916797376066472,0.0509200460147747,0.0773698785269948
"Rubrobacterineae_bacterium",0.141184656377082,0.132453486889605,0.163075092481356,0.190384478599725,0.211501131817633,0.239280260614343,0.280493851122507,0.226596908639308,0.338381708124119,0.367623842202341,0.194265527509715,0.110933782083957,0.16427144857494,0.211501131817623,0.210151666740642,0.264002626007553,0.24500949871444,0.252248226864258,0.189098991655132,0.212854465293501,0.196873244246991,0.211501131817626,0.145659104974655,0.262522009456222,0.196873244247005,0.20479281023709,0.262522009456221,0.305104927937503,0.22381841184535,0.172767362990522,0.261044584178001,0.283531186809891,0.449317946940657,0.117880194713259,0.237856689618619,0.23643665237639,0.216937512725303,0.269956576910382,0.164271448574938,0.235020167813598
"Rudaea",0.216630844653794,0.204344074229869,0.246856681933379,0.283444795684539,0.310919371937519,0.346026029614939,0.396053262103637,0.330140048150229,0.462461205558315,0.494413183384004,0.288546795741243,0.173479928709285,0.248485190410616,0.310919371937506,0.309184309038913,0.376321415220736,0.35312471354639,0.36202600422628,0.28174962810507,0.31265660720246,0.291961504783833,0.310919371937511,0.222875831607331,0.374531428889223,0.29196150478385,0.302266541149593,0.374531428889221,0.424817148388219,0.326628118804106,0.259981630803089,0.372742241294018,0.399646885149358,0.578507398838427,0.183534333060594,0.344254781021655,0.342484977924453,0.317880966283011,0.383488595972681,0.248485190410613,0.340716658620494
"Ruminiclostridium",0.177855882738418,0.167298660924255,0.204081005113503,0.236318432132305,0.260888153671596,0.292745620854009,0.339063554539394,0.278264923126504,0.402280717315927,0.433427378477001,0.240857290741278,0.14103802686246,0.205504322375161,0.260888153671585,0.25932721444363,0.320663488690128,0.299251427318662,0.307440136417113,0.234812748903129,0.262452315042111,0.243901110803916,0.260888153671589,0.183244546728137,0.319002831045124,0.243901110803932,0.253116234803829,0.319002831045122,0.366198108101509,0.275078215659608,0.215582651401321,0.31734432211951,0.342433268984795,0.517771586107843,0.149552405617177,0.291125694548219,0.289508438616878,0.267163851238049,0.327326979940889,0.205504322375159,0.287893883029226
"Rummeliibacillus",0.106528756878235,0.0996920002998699,0.123820562130001,0.145700613857873,0.162858072083219,0.185753380258411,0.220418852630485,0.175253643785389,0.270570876108224,0.296579811431113,0.148838225047355,0.0829858982607591,0.124771871186604,0.162858072083211,0.161755301042034,0.206446214385981,0.190521973734809,0.196570018540798,0.144662925440114,0.163964876555534,0.150950391432757,0.162858072083213,0.110045619717738,0.205198397244564,0.150950391432768,0.157384642448172,0.205198397244563,0.241528266582793,0.172963914713776,0.131546471127533,0.203954359659411,0.22300729105196,0.371767712724944,0.088356199742034,0.184570996389359,0.18339253300209,0.167309442064285,0.211475087202516,0.124771871186603,0.182217997208898
