,1-1A,10-2B,11-2C,12-2D,13-2E,14-2F,15-2G,16-2H,17-3A,18-3B,19-3C,2-1B,20-3D,21-3E,22-3F,23-3G,24-3H,25-4A,26-4B,27-4C,28-4D,29-4E,3-1C,30-4F,31-4G,32-4H,33-5A,34-5B,35-5C,36-5D,37-6E,38-5F,39-5G,4-1D,40-5H,5-1E,6-1F,7-1G,8-1H,9-2A
Acidobacteriaceae_(Subgroup_1),0.556061,0.537751,0.597503,0.641766,0.671426,0.705563,0.748122,0.690599,0.79581,0.815859,0.647489,0.487441,0.599602,0.671426,0.669635,0.732106,0.712009,0.719891,0.639842,0.67321,0.651263,0.671426,0.565028,0.730605,0.651263,0.662385,0.730605,0.769874,0.687186,0.614066,0.729097,0.75094,0.861533,0.504553,0.703932,0.702293,0.678512,0.738033,0.599602,0.700647
Acidobacteriaceae_bacterium,0.028151,0.026198,0.03319,0.039781,0.045124,0.052506,0.064272,0.049084,0.082678,0.092938,0.040746,0.021519,0.033472,0.045124,0.044776,0.059441,0.054082,0.056099,0.039463,0.045474,0.041399,0.045124,0.029164,0.059016,0.041399,0.043402,0.059016,0.07181,0.048346,0.03549,0.058592,0.065181,0.125787,0.023009,0.052118,0.051731,0.046536,0.061166,0.033472,0.051347
Acidobacteriae,0.996995,0.996766,0.997464,0.997897,0.998156,0.998427,0.998731,0.998312,0.999032,0.999149,0.997949,0.996046,0.997486,0.998156,0.998141,0.998621,0.998475,0.998533,0.99788,0.998171,0.997983,0.998156,0.997102,0.99861,0.997983,0.99808,0.99861,0.998873,0.998285,0.997633,0.998599,0.99875,0.999394,0.996307,0.998415,0.998402,0.998215,0.998662,0.997486,0.99839
Acidobacteriales,0.585426,0.567384,0.62597,0.668838,0.697314,0.729843,0.770037,0.715616,0.814604,0.833194,0.674348,0.517405,0.628014,0.697314,0.695599,0.754957,0.735956,0.743419,0.666983,0.69902,0.677977,0.697314,0.594232,0.753542,0.677977,0.688654,0.753542,0.790426,0.712364,0.642063,0.752119,0.772683,0.875226,0.534472,0.728295,0.726739,0.704087,0.760544,0.628014,0.725174
Acidobacteriota,0.527445,0.508996,0.56949,0.614848,0.645506,0.681057,0.725781,0.665438,0.776435,0.797903,0.620747,0.458707,0.571631,0.645506,0.643648,0.708897,0.687801,0.696063,0.612866,0.647356,0.624641,0.645506,0.536508,0.707318,0.624641,0.636138,0.707318,0.748814,0.661883,0.586407,0.705732,0.728758,0.847197,0.475747,0.679351,0.677639,0.652862,0.715137,0.571631,0.675919
Acidothermus,0.678119,0.661781,0.714027,0.750819,0.774621,0.801211,0.833213,0.789659,0.867641,0.881685,0.755464,0.615313,0.715807,0.774621,0.773202,0.821315,0.806138,0.812124,0.749252,0.776032,0.758513,0.774621,0.686013,0.820191,0.758513,0.767436,0.820191,0.849098,0.787002,0.727977,0.819061,0.835288,0.912778,0.631384,0.79996,0.798701,0.78021,0.825738,0.715807,0.797433
Acinetobacter,0.106564,0.09973,0.123852,0.145731,0.162891,0.185792,0.220476,0.175289,0.270674,0.296717,0.148869,0.083038,0.124803,0.162891,0.161788,0.206494,0.190563,0.196613,0.144694,0.163998,0.150981,0.162891,0.11008,0.205246,0.150981,0.157416,0.205246,0.241601,0.172999,0.131577,0.204001,0.223066,0.372049,0.088402,0.184609,0.183431,0.167343,0.211526,0.124803,0.182256
Actinoallomurus,0.058137,0.05422,0.068168,0.081121,0.091487,0.105617,0.12768,0.099094,0.161117,0.179209,0.083003,0.044766,0.068725,0.091487,0.090815,0.118687,0.108603,0.112413,0.0805,0.092163,0.084273,0.091487,0.060163,0.117891,0.084273,0.08816,0.117891,0.141528,0.097682,0.072708,0.117098,0.129361,0.234663,0.047787,0.104878,0.104144,0.094208,0.121908,0.068725,0.103412
Actinobacteria,0.848191,0.838429,0.868797,0.888779,0.901138,0.91445,0.929819,0.908729,0.945608,0.951838,0.891225,0.809235,0.86979,0.901138,0.900413,0.924186,0.916862,0.919769,0.88795,0.901857,0.892821,0.901138,0.85282,0.923649,0.892821,0.897453,0.923649,0.937197,0.9074,0.876504,0.923108,0.930792,0.965222,0.81958,0.913835,0.913215,0.903979,0.926291,0.86979,0.91259
Actinobacteria_bacterium,0.028151,0.026198,0.03319,0.039781,0.045124,0.052506,0.064272,0.049084,0.082678,0.092938,0.040746,0.021519,0.033472,0.045124,0.044776,0.059441,0.054082,0.056099,0.039463,0.045474,0.041399,0.045124,0.029164,0.059016,0.041399,0.043402,0.059016,0.07181,0.048346,0.03549,0.058592,0.065181,0.125787,0.023009,0.052118,0.051731,0.046536,0.061166,0.033472,0.051347
