,10A,10B,10C,10D,10E,10F,10G,10H,11A,11B,11C,11D,11E,11F,11G,11H,12A,12B,12C,12D,12E,12F,1A,1Aa,1B,1Bb,1C,1Cc,1D,1Dd,1E,1Ee,1F,1Ff,1G,1Gg,1H,1Hh,2A,2Aa,2B,2Bb,2C,2Cc,2D,2Dd,2,2Ee,2F,2Ff,2G,2Gg,2H,2Hh,3A,3Aa,3B,3Bb,3C,3Cc,3D,3Dd,3,3Ee,3F,3Ff,3G,3Gg,3H,3Hh,4A,4Aa,4B,4C,4Cc,4D,4Dd,4,4Ee,4F,4Ff,4G,4Gg,4H,4Hh,5A,5Aa,5B,5Bb,5C,5Cc,5D,5Dd,5E,5Ee,5F,5Ff,5G,5Gg,5H,5Hh,6A,6Aa,6B,6Bb,6C,6Cc,6D,6Dd,6E,6Ee,6F,6Ff,6G,6Gg,6H,6Hh,7A,7B,7C,7D,7E,7F,7G,7H,8A,8B,8C,8D,8E,8F,8G,8H,9A,9B,9C,9D,9E,9F,9G,9H,AN16S,ON16S,repeat-4Bb,repeat-6Gg,repeat-6Hh
Lechevalieria,0.544562701,0.773331719,0.622841268,0.148927592,0.421667176,0.1837162,0.663392459,0.289234558,0.148927592,0.650382059,0.195433709,0.741616773,0.828087786,0.346206878,0.462006693,0.126219451,0.49080925,0.553020198,0.093297711,0.172047978,0.481349618,0.509300624,0.010877847,0.593188352,0.017868796,0.518331396,0.082723296,0.230728284,0.230728284,0.629920634,0.062340482,0.207184677,0.104088873,0.49080925,0.218954205,0.160445838,0.005296031,0.137512121,0.017868796,0.681997226,0.017868796,0.025740662,0.025740662,0.687963159,0.072393822,0.527218609,0.242493758,0.669713699,0.017868796,0.764716596,0.072393822,0.254238293,0.017868796,0.49080925,0.005296031,0.160445838,0.034232241,0.400705315,0.04321119,0.218954205,0.148927592,0.207184677,0.005296031,0.017868796,0.346206878,0.500126451,0.034232241,0.400705315,0.010877847,0.148927592,0.034232241,0.242493758,0.010877847,0.005296031,0.172047978,0.034232241,0.500126451,0.148927592,0.277619117,0.010877847,0.518331396,0.172047978,0.421667176,0.148927592,0.643689394,0.005296031,0.265950342,0.082723296,0.636869472,0.195433709,0.172047978,0.034232241,0.421667176,0.137512121,0.137512121,0.017868796,0.034232241,0.010877847,0.207184677,0.034232241,0.669713699,0.034232241,0.518331396,0.010877847,0.675914684,0.005296031,0.49080925,0.005296031,0.300787301,0.005296031,0.705179789,0.148927592,0.265950342,0.010877847,0.034232241,0.005296031,0.001747287,0.005296031,0.005296031,0.025740662,0.010877847,0.034232241,0.04321119,0.017868796,0.207184677,0.04321119,0.062340482,0.010877847,0.017868796,0.034232241,0.005296031,0.368343624,0.010877847,0.04321119,0.017868796,0.104088873,0.010877847,0.04321119,0.010877847,0.242493758,0.751133174,0.072393822,0.062340482,0.569508841,0.126219451,0.001747287
Leptographium_truncatum,0.048357321,0.126631466,0.065579005,0.00738176,0.03005442,0.009474169,0.077283043,0.016999904,0.00738176,0.07326545,0.010217542,0.108717538,0.169924586,0.022008946,0.035210562,0.006101477,0.039351889,0.049953615,0.004353918,0.008753767,0.037945025,0.042245637,0.000467153,0.058352139,0.000772608,0.043732817,0.003817993,0.012586047,0.012586047,0.067457265,0.002817531,0.010983935,0.004913255,0.039351889,0.011773412,0.008056303,0.000226218,0.006730143,0.000772608,0.083529382,0.000772608,0.001121571,0.001121571,0.085670457,0.003305741,0.045247062,0.013421926,0.079335749,0.000772608,0.121363351,0.003305741,0.014281143,0.000772608,0.039351889,0.000226218,0.008056303,0.001504104,0.02763027,0.001915651,0.011773412,0.00738176,0.010983935,0.000226218,0.000772608,0.022008946,0.040785377,0.001504104,0.02763027,0.000467153,0.00738176,0.001504104,0.013421926,0.000467153,0.000226218,0.008753767,0.001504104,0.040785377,0.00738176,0.016070017,0.000467153,0.043732817,0.008753767,0.03005442,0.00738176,0.071300388,0.000226218,0.015163803,0.003817993,0.069364359,0.010217542,0.008753767,0.001504104,0.03005442,0.006730143,0.006730143,0.000772608,0.001504104,0.000467153,0.010983935,0.001504104,0.079335749,0.001504104,0.043732817,0.000467153,0.081417837,0.000226218,0.039351889,0.000226218,0.017953587,0.000226218,0.092271504,0.00738176,0.015163803,0.000467153,0.001504104,0.000226218,7.44E-05,0.000226218,0.000226218,0.001121571,0.000467153,0.001504104,0.001915651,0.000772608,0.010983935,0.001915651,0.002817531,0.000467153,0.000772608,0.001504104,0.000226218,0.024182973,0.000467153,0.001915651,0.000772608,0.004913255,0.000467153,0.001915651,0.000467153,0.013421926,0.113685903,0.003305741,0.002817531,0.05322922,0.006101477,7.44E-05
Luedemannella,0.015896227,0.044059523,0.021822512,0.002358398,0.009753692,0.00303125,0.025933967,0.005467349,0.002358398,0.024514857,0.00327076,0.037327397,0.061097576,0.007102864,0.011468217,0.001947651,0.012854269,0.016439479,0.001388151,0.002799373,0.012382507,0.013827556,0.000148546,0.019317963,0.000245727,0.014329297,0.001216837,0.004035513,0.004035513,0.022477682,0.000897365,0.003517944,0.001567083,0.012854269,0.003772846,0.002575098,7.19E-05,0.002149252,0.000245727,0.028156704,0.000245727,0.000356799,0.000356799,0.028923227,0.001053208,0.014841249,0.004306001,0.026662206,0.000245727,0.042061126,0.001053208,0.004584365,0.000245727,0.012854269,7.19E-05,0.002575098,0.000478618,0.00895186,0.000609746,0.003772846,0.002358398,0.003517944,7.19E-05,0.000245727,0.007102864,0.013335916,0.000478618,0.00895186,0.000148546,0.002358398,0.000478618,0.004306001,0.000148546,7.19E-05,0.002799373,0.000478618,0.013335916,0.002358398,0.005164973,0.000148546,0.014329297,0.002799373,0.009753692,0.002358398,0.023823728,7.19E-05,0.004870668,0.001216837,0.023144712,0.00327076,0.002799373,0.000478618,0.009753692,0.002149252,0.002149252,0.000245727,0.000478618,0.000148546,0.003517944,0.000478618,0.026662206,0.000478618,0.014329297,0.000148546,0.027403074,7.19E-05,0.012854269,7.19E-05,0.005777866,7.19E-05,0.031301497,0.002358398,0.004870668,0.000148546,0.000478618,7.19E-05,2.36E-05,7.19E-05,7.19E-05,0.000356799,0.000148546,0.000478618,0.000609746,0.000245727,0.003517944,0.000609746,0.000897365,0.000148546,0.000245727,0.000478618,7.19E-05,0.007816247,0.000148546,0.000609746,0.000245727,0.001567083,0.000148546,0.000609746,0.000148546,0.004306001,0.039176655,0.001053208,0.000897365,0.017558079,0.001947651,2.36E-05
Massilia,0.115417425,0.271294424,0.152689599,0.018737327,0.073698402,0.023970814,0.176995627,0.042517566,0.018737327,0.168742384,0.025821988,0.238504371,0.344534745,0.054627582,0.085680696,0.015518339,0.09517255,0.118950701,0.011103776,0.022172784,0.091961086,0.101736366,0.001198632,0.137273328,0.001981427,0.105088018,0.009745142,0.031691904,0.031691904,0.15664456,0.007202765,0.027726047,0.012519347,0.09517255,0.029682758,0.020428182,0.000580655,0.017100577,0.001981427,0.18964476,0.001981427,0.002874806,0.002874806,0.193930279,0.008444397,0.108485673,0.033753288,0.181176759,0.001981427,0.261812159,0.008444397,0.03586672,0.001981427,0.09517255,0.000580655,0.020428182,0.003853007,0.068000785,0.004904094,0.029682758,0.018737327,0.027726047,0.000580655,0.001981427,0.054627582,0.098431091,0.003853007,0.068000785,0.001198632,0.018737327,0.003853007,0.033753288,0.001198632,0.000580655,0.022172784,0.003853007,0.098431091,0.018737327,0.040249027,0.001198632,0.105088018,0.022172784,0.073698402,0.018737327,0.164671552,0.000580655,0.038032023,0.009745142,0.160638742,0.025821988,0.022172784,0.003853007,0.073698402,0.017100577,0.017100577,0.001981427,0.003853007,0.001198632,0.027726047,0.003853007,0.181176759,0.003853007,0.105088018,0.001198632,0.18539336,0.000580655,0.09517255,0.000580655,0.044837477,0.000580655,0.20698456,0.018737327,0.038032023,0.001198632,0.003853007,0.000580655,0.000190965,0.000580655,0.000580655,0.002874806,0.001198632,0.003853007,0.004904094,0.001981427,0.027726047,0.004904094,0.007202765,0.001198632,0.001981427,0.003853007,0.000580655,0.05982655,0.001198632,0.004904094,0.001981427,0.012519347,0.001198632,0.004904094,0.001198632,0.033753288,0.247755223,0.008444397,0.007202765,0.126149892,0.015518339,0.000190965
Mesorhizobium,0.149707116,0.334388069,0.195603995,0.025119706,0.096952125,0.032077568,0.224927927,0.056533388,0.025119706,0.215023567,0.034532645,0.297081113,0.414961998,0.072333862,0.112256959,0.020827527,0.124292746,0.154107229,0.014925536,0.029689955,0.120229229,0.132570659,0.001616758,0.176758763,0.002671889,0.136783446,0.013105476,0.042296716,0.042296716,0.200407614,0.009695017,0.037054578,0.016820039,0.124292746,0.039642789,0.027370442,0.000783377,0.022938473,0.002671889,0.240003635,0.002671889,0.003875372,0.003875372,0.245082971,0.011361353,0.141044352,0.045015816,0.229925022,0.002671889,0.323680095,0.011361353,0.047799556,0.002671889,0.124292746,0.000783377,0.027370442,0.005192259,0.089630718,0.006606268,0.039642789,0.025119706,0.037054578,0.000783377,0.002671889,0.072333862,0.128406821,0.005192259,0.089630718,0.001616758,0.025119706,0.005192259,0.045015816,0.001616758,0.000783377,0.029689955,0.005192259,0.128406821,0.025119706,0.053558862,0.001616758,0.136783446,0.029689955,0.096952125,0.025119706,0.210118445,0.000783377,0.050647412,0.013105476,0.205246111,0.034532645,0.029689955,0.005192259,0.096952125,0.022938473,0.022938473,0.002671889,0.005192259,0.001616758,0.037054578,0.005192259,0.229925022,0.005192259,0.136783446,0.001616758,0.234950621,0.000783377,0.124292746,0.000783377,0.059570473,0.000783377,0.260467913,0.025119706,0.050647412,0.001616758,0.005192259,0.000783377,0.000257672,0.000783377,0.000783377,0.003875372,0.001616758,0.005192259,0.006606268,0.002671889,0.037054578,0.006606268,0.009695017,0.001616758,0.002671889,0.005192259,0.000783377,0.079077002,0.001616758,0.006606268,0.002671889,0.016820039,0.001616758,0.006606268,0.001616758,0.045015816,0.307685959,0.011361353,0.009695017,0.163040432,0.020827527,0.000257672
Methylobacterium-Methylorubrum,0.166974042,0.363841127,0.216814757,0.02849858,0.108913775,0.036357447,0.248336811,0.063860949,0.02849858,0.237717819,0.039126845,0.324851896,0.446748655,0.081532415,0.125843735,0.023643059,0.13910798,0.171779128,0.016957035,0.03366235,0.134634573,0.148205599,0.001840197,0.196425007,0.003040705,0.152827692,0.014892994,0.047872626,0.047872626,0.221995512,0.011022561,0.04196971,0.019104395,0.13910798,0.044885233,0.031042424,0.000891744,0.026031782,0.003040705,0.264446174,0.003040705,0.004409577,0.004409577,0.269859122,0.012914094,0.1574972,0.050931118,0.25368375,0.003040705,0.352689747,0.012914094,0.054059948,0.003040705,0.13910798,0.000891744,0.031042424,0.005906916,0.100789893,0.007514077,0.044885233,0.02849858,0.04196971,0.000891744,0.003040705,0.081532415,0.143632006,0.005906916,0.100789893,0.001840197,0.02849858,0.005906916,0.050931118,0.001840197,0.000891744,0.03366235,0.005906916,0.143632006,0.02849858,0.060525613,0.001840197,0.152827692,0.03366235,0.108913775,0.02849858,0.232448298,0.000891744,0.057258363,0.014892994,0.22720711,0.039126845,0.03366235,0.005906916,0.108913775,0.026031782,0.026031782,0.003040705,0.005906916,0.001840197,0.04196971,0.005906916,0.25368375,0.005906916,0.152827692,0.001840197,0.25905396,0.000891744,0.13910798,0.000891744,0.06726362,0.000891744,0.286209713,0.02849858,0.057258363,0.001840197,0.005906916,0.000891744,0.000293337,0.000891744,0.000891744,0.004409577,0.001840197,0.005906916,0.007514077,0.003040705,0.04196971,0.007514077,0.011022561,0.001840197,0.003040705,0.005906916,0.000891744,0.08905075,0.001840197,0.007514077,0.003040705,0.019104395,0.001840197,0.007514077,0.001840197,0.050931118,0.335974245,0.012914094,0.011022561,0.181516904,0.023643059,0.000293337
Methylobacterium_jeotgali,0.015896227,0.044059523,0.021822512,0.002358398,0.009753692,0.00303125,0.025933967,0.005467349,0.002358398,0.024514857,0.00327076,0.037327397,0.061097576,0.007102864,0.011468217,0.001947651,0.012854269,0.016439479,0.001388151,0.002799373,0.012382507,0.013827556,0.000148546,0.019317963,0.000245727,0.014329297,0.001216837,0.004035513,0.004035513,0.022477682,0.000897365,0.003517944,0.001567083,0.012854269,0.003772846,0.002575098,7.19E-05,0.002149252,0.000245727,0.028156704,0.000245727,0.000356799,0.000356799,0.028923227,0.001053208,0.014841249,0.004306001,0.026662206,0.000245727,0.042061126,0.001053208,0.004584365,0.000245727,0.012854269,7.19E-05,0.002575098,0.000478618,0.00895186,0.000609746,0.003772846,0.002358398,0.003517944,7.19E-05,0.000245727,0.007102864,0.013335916,0.000478618,0.00895186,0.000148546,0.002358398,0.000478618,0.004306001,0.000148546,7.19E-05,0.002799373,0.000478618,0.013335916,0.002358398,0.005164973,0.000148546,0.014329297,0.002799373,0.009753692,0.002358398,0.023823728,7.19E-05,0.004870668,0.001216837,0.023144712,0.00327076,0.002799373,0.000478618,0.009753692,0.002149252,0.002149252,0.000245727,0.000478618,0.000148546,0.003517944,0.000478618,0.026662206,0.000478618,0.014329297,0.000148546,0.027403074,7.19E-05,0.012854269,7.19E-05,0.005777866,7.19E-05,0.031301497,0.002358398,0.004870668,0.000148546,0.000478618,7.19E-05,2.36E-05,7.19E-05,7.19E-05,0.000356799,0.000148546,0.000478618,0.000609746,0.000245727,0.003517944,0.000609746,0.000897365,0.000148546,0.000245727,0.000478618,7.19E-05,0.007816247,0.000148546,0.000609746,0.000245727,0.001567083,0.000148546,0.000609746,0.000148546,0.004306001,0.039176655,0.001053208,0.000897365,0.017558079,0.001947651,2.36E-05
Methylophilus,0.015896227,0.044059523,0.021822512,0.002358398,0.009753692,0.00303125,0.025933967,0.005467349,0.002358398,0.024514857,0.00327076,0.037327397,0.061097576,0.007102864,0.011468217,0.001947651,0.012854269,0.016439479,0.001388151,0.002799373,0.012382507,0.013827556,0.000148546,0.019317963,0.000245727,0.014329297,0.001216837,0.004035513,0.004035513,0.022477682,0.000897365,0.003517944,0.001567083,0.012854269,0.003772846,0.002575098,7.19E-05,0.002149252,0.000245727,0.028156704,0.000245727,0.000356799,0.000356799,0.028923227,0.001053208,0.014841249,0.004306001,0.026662206,0.000245727,0.042061126,0.001053208,0.004584365,0.000245727,0.012854269,7.19E-05,0.002575098,0.000478618,0.00895186,0.000609746,0.003772846,0.002358398,0.003517944,7.19E-05,0.000245727,0.007102864,0.013335916,0.000478618,0.00895186,0.000148546,0.002358398,0.000478618,0.004306001,0.000148546,7.19E-05,0.002799373,0.000478618,0.013335916,0.002358398,0.005164973,0.000148546,0.014329297,0.002799373,0.009753692,0.002358398,0.023823728,7.19E-05,0.004870668,0.001216837,0.023144712,0.00327076,0.002799373,0.000478618,0.009753692,0.002149252,0.002149252,0.000245727,0.000478618,0.000148546,0.003517944,0.000478618,0.026662206,0.000478618,0.014329297,0.000148546,0.027403074,7.19E-05,0.012854269,7.19E-05,0.005777866,7.19E-05,0.031301497,0.002358398,0.004870668,0.000148546,0.000478618,7.19E-05,2.36E-05,7.19E-05,7.19E-05,0.000356799,0.000148546,0.000478618,0.000609746,0.000245727,0.003517944,0.000609746,0.000897365,0.000148546,0.000245727,0.000478618,7.19E-05,0.007816247,0.000148546,0.000609746,0.000245727,0.001567083,0.000148546,0.000609746,0.000148546,0.004306001,0.039176655,0.001053208,0.000897365,0.017558079,0.001947651,2.36E-05
Methylotenera,0.015896227,0.044059523,0.021822512,0.002358398,0.009753692,0.00303125,0.025933967,0.005467349,0.002358398,0.024514857,0.00327076,0.037327397,0.061097576,0.007102864,0.011468217,0.001947651,0.012854269,0.016439479,0.001388151,0.002799373,0.012382507,0.013827556,0.000148546,0.019317963,0.000245727,0.014329297,0.001216837,0.004035513,0.004035513,0.022477682,0.000897365,0.003517944,0.001567083,0.012854269,0.003772846,0.002575098,7.19E-05,0.002149252,0.000245727,0.028156704,0.000245727,0.000356799,0.000356799,0.028923227,0.001053208,0.014841249,0.004306001,0.026662206,0.000245727,0.042061126,0.001053208,0.004584365,0.000245727,0.012854269,7.19E-05,0.002575098,0.000478618,0.00895186,0.000609746,0.003772846,0.002358398,0.003517944,7.19E-05,0.000245727,0.007102864,0.013335916,0.000478618,0.00895186,0.000148546,0.002358398,0.000478618,0.004306001,0.000148546,7.19E-05,0.002799373,0.000478618,0.013335916,0.002358398,0.005164973,0.000148546,0.014329297,0.002799373,0.009753692,0.002358398,0.023823728,7.19E-05,0.004870668,0.001216837,0.023144712,0.00327076,0.002799373,0.000478618,0.009753692,0.002149252,0.002149252,0.000245727,0.000478618,0.000148546,0.003517944,0.000478618,0.026662206,0.000478618,0.014329297,0.000148546,0.027403074,7.19E-05,0.012854269,7.19E-05,0.005777866,7.19E-05,0.031301497,0.002358398,0.004870668,0.000148546,0.000478618,7.19E-05,2.36E-05,7.19E-05,7.19E-05,0.000356799,0.000148546,0.000478618,0.000609746,0.000245727,0.003517944,0.000609746,0.000897365,0.000148546,0.000245727,0.000478618,7.19E-05,0.007816247,0.000148546,0.000609746,0.000245727,0.001567083,0.000148546,0.000609746,0.000148546,0.004306001,0.039176655,0.001053208,0.000897365,0.017558079,0.001947651,2.36E-05
Microbacteriaceae,0.716863453,0.878409231,0.777621087,0.270358213,0.606899491,0.322755161,0.806695583,0.462850231,0.270358213,0.79753361,0.339650732,0.858710375,0.910712542,0.528587937,0.645190438,0.234230395,0.671166108,0.723744483,0.178904466,0.305561878,0.662754819,0.687280924,0.022757092,0.755357418,0.037096239,0.694997766,0.160343182,0.388416705,0.388416705,0.782808292,0.123408098,0.356233725,0.197441079,0.671166108,0.372492174,0.28808899,0.01114831,0.25239528,0.037096239,0.819534453,0.037096239,0.052981564,0.052981564,0.823587544,0.141819999,0.702496252,0.404000253,0.811092024,0.037096239,0.873132669,0.141819999,0.419237803,0.037096239,0.671166108,0.01114831,0.28808899,0.069815662,0.586060673,0.087284436,0.372492174,0.270358213,0.356233725,0.01114831,0.037096239,0.528587937,0.679339239,0.069815662,0.586060673,0.022757092,0.270358213,0.069815662,0.404000253,0.022757092,0.01114831,0.305561878,0.069815662,0.679339239,0.270358213,0.448663696,0.022757092,0.694997766,0.305561878,0.606899491,0.270358213,0.792760254,0.01114831,0.434126152,0.160343182,0.787853225,0.339650732,0.305561878,0.069815662,0.606899491,0.25239528,0.25239528,0.037096239,0.069815662,0.022757092,0.356233725,0.069815662,0.811092024,0.069815662,0.694997766,0.022757092,0.815370444,0.01114831,0.671166108,0.01114831,0.476686781,0.01114831,0.835114582,0.270358213,0.434126152,0.022757092,0.069815662,0.01114831,0.003692652,0.01114831,0.01114831,0.052981564,0.022757092,0.069815662,0.087284436,0.037096239,0.356233725,0.087284436,0.123408098,0.022757092,0.037096239,0.069815662,0.01114831,0.55253088,0.022757092,0.087284436,0.037096239,0.197441079,0.022757092,0.087284436,0.022757092,0.404000253,0.864700939,0.141819999,0.123408098,0.736931132,0.234230395,0.003692652
Micrococcaceae,0.081582468,0.202209409,0.109278007,0.012833247,0.051383087,0.016445314,0.127715145,0.029344478,0.012833247,0.121420812,0.017725877,0.175755412,0.263544311,0.037850807,0.059972134,0.010617579,0.066824101,0.084178522,0.007586411,0.015202973,0.064501026,0.071587479,0.000816349,0.097739184,0.001349822,0.074027746,0.006655257,0.021796544,0.021796544,0.112257497,0.004914989,0.019044616,0.008557449,0.066824101,0.020401508,0.013998919,0.000395387,0.01170608,0.001349822,0.137430514,0.001349822,0.001958984,0.001958984,0.140741041,0.005764538,0.076507028,0.02322973,0.130917317,0.001349822,0.194497308,0.005764538,0.024701084,0.001349822,0.066824101,0.000395387,0.013998919,0.002626382,0.04732253,0.003343973,0.020401508,0.012833247,0.019044616,0.000395387,0.001349822,0.037850807,0.069186257,0.002626382,0.04732253,0.000816349,0.012833247,0.002626382,0.02322973,0.000816349,0.000395387,0.015202973,0.002626382,0.069186257,0.012833247,0.027758417,0.000816349,0.074027746,0.015202973,0.051383087,0.012833247,0.118329083,0.000395387,0.026210634,0.006655257,0.115274582,0.017725877,0.015202973,0.002626382,0.051383087,0.01170608,0.01170608,0.001349822,0.002626382,0.000816349,0.019044616,0.002626382,0.130917317,0.002626382,0.074027746,0.000816349,0.134155855,0.000395387,0.066824101,0.000395387,0.030968866,0.000395387,0.150885127,0.012833247,0.026210634,0.000816349,0.002626382,0.000395387,0.000130018,0.000395387,0.000395387,0.001958984,0.000816349,0.002626382,0.003343973,0.001349822,0.019044616,0.003343973,0.004914989,0.000816349,0.001349822,0.002626382,0.000395387,0.04152324,0.000816349,0.003343973,0.001349822,0.008557449,0.000816349,0.003343973,0.000816349,0.02322973,0.183157821,0.005764538,0.004914989,0.089486965,0.010617579,0.000130018
Micromonospora,0.438518165,0.69025618,0.518921545,0.10257455,0.322602699,0.128165956,0.562803023,0.209986346,0.10257455,0.548550491,0.136934799,0.652145986,0.758822002,0.256992796,0.359353794,0.086218208,0.386352531,0.446944952,0.062977971,0.119509313,0.377413921,0.404031147,0.007132094,0.487817026,0.011744315,0.41276546,0.055629174,0.163815744,0.163815744,0.526468516,0.041619379,0.145805799,0.070535049,0.386352531,0.154769245,0.110975259,0.003465625,0.094318338,0.011744315,0.583476736,0.011744315,0.016964725,0.016964725,0.590180308,0.048503986,0.421426295,0.17293621,0.56978824,0.011744315,0.679790963,0.048503986,0.182121856,0.011744315,0.386352531,0.003465625,0.110975259,0.022628455,0.303977061,0.028654091,0.154769245,0.10257455,0.145805799,0.003465625,0.011744315,0.256992796,0.39522592,0.022628455,0.303977061,0.007132094,0.10257455,0.022628455,0.17293621,0.007132094,0.003465625,0.119509313,0.022628455,0.39522592,0.10257455,0.200654994,0.007132094,0.41276546,0.119509313,0.322602699,0.10257455,0.541283362,0.003465625,0.191364187,0.055629174,0.533922596,0.136934799,0.119509313,0.022628455,0.322602699,0.094318338,0.094318338,0.011744315,0.022628455,0.007132094,0.145805799,0.022628455,0.56978824,0.022628455,0.41276546,0.007132094,0.576679441,0.003465625,0.386352531,0.003465625,0.21935059,0.003465625,0.609731529,0.10257455,0.191364187,0.007132094,0.022628455,0.003465625,0.001141984,0.003465625,0.003465625,0.016964725,0.007132094,0.022628455,0.028654091,0.011744315,0.145805799,0.028654091,0.041619379,0.007132094,0.011744315,0.022628455,0.003465625,0.275831787,0.007132094,0.028654091,0.011744315,0.070535049,0.007132094,0.028654091,0.007132094,0.17293621,0.663462294,0.048503986,0.041619379,0.463550847,0.086218208,0.001141984
Micromonosporaceae,0.64992607,0.841203444,0.719425721,0.21365253,0.530974291,0.258960059,0.753698922,0.387195726,0.21365253,0.742825866,0.273866543,0.816734477,0.8820642,0.451214395,0.571438468,0.183199678,0.599461553,0.657656995,0.137758961,0.243941077,0.59033564,0.617085535,0.016788993,0.69363122,0.027473385,0.625590922,0.122827935,0.317732005,0.317732005,0.725491189,0.09357147,0.288641614,0.152825892,0.599461553,0.303268416,0.228830729,0.008199097,0.198432562,0.027473385,0.769049993,0.027473385,0.039406657,0.039406657,0.77392414,0.10808074,0.633896914,0.332019211,0.758940515,0.027473385,0.834616285,0.10808074,0.346118507,0.027473385,0.599461553,0.008199097,0.228830729,0.052165119,0.509364422,0.065528622,0.303268416,0.21365253,0.288641614,0.008199097,0.027473385,0.451214395,0.60837698,0.052165119,0.509364422,0.016788993,0.21365253,0.052165119,0.332019211,0.016788993,0.008199097,0.243941077,0.052165119,0.60837698,0.21365253,0.373714729,0.016788993,0.625590922,0.243941077,0.530974291,0.21365253,0.737187745,0.008199097,0.360019883,0.122827935,0.731410682,0.273866543,0.243941077,0.052165119,0.530974291,0.198432562,0.198432562,0.027473385,0.052165119,0.016788993,0.288641614,0.052165119,0.758940515,0.052165119,0.625590922,0.016788993,0.764056484,0.008199097,0.599461553,0.008199097,0.40045674,0.008199097,0.787860388,0.21365253,0.360019883,0.016788993,0.052165119,0.008199097,0.002710379,0.008199097,0.008199097,0.039406657,0.016788993,0.052165119,0.065528622,0.027473385,0.288641614,0.065528622,0.09357147,0.016788993,0.027473385,0.052165119,0.008199097,0.475185391,0.016788993,0.065528622,0.027473385,0.152825892,0.016788993,0.065528622,0.016788993,0.332019211,0.824140301,0.10808074,0.09357147,0.672571066,0.183199678,0.002710379
Microscillaceae,0.132515127,0.303559263,0.174221264,0.021867079,0.085211265,0.027949832,0.201141173,0.049419358,0.021867079,0.19202473,0.030098814,0.268305361,0.380956325,0.063365074,0.098865602,0.018120344,0.109642944,0.136491054,0.012975334,0.025861248,0.1060004,0.117075619,0.001403032,0.157033955,0.002319005,0.120864619,0.011390337,0.03690412,0.03690412,0.17861637,0.008422402,0.032307779,0.014625972,0.109642944,0.034576337,0.023833504,0.000679744,0.0199625,0.002319005,0.215064965,0.002319005,0.003364077,0.003364077,0.219769131,0.009872187,0.124701278,0.039290772,0.205750096,0.002319005,0.29340334,0.009872187,0.041735953,0.002319005,0.109642944,0.000679744,0.023833504,0.004508008,0.07869921,0.005736748,0.034576337,0.021867079,0.032307779,0.000679744,0.002319005,0.063365074,0.11333487,0.004508008,0.07869921,0.001403032,0.021867079,0.004508008,0.039290772,0.001403032,0.000679744,0.025861248,0.004508008,0.11333487,0.021867079,0.046800571,0.001403032,0.120864619,0.025861248,0.085211265,0.021867079,0.187518927,0.000679744,0.044239328,0.011390337,0.183049197,0.030098814,0.025861248,0.004508008,0.085211265,0.0199625,0.0199625,0.002319005,0.004508008,0.001403032,0.032307779,0.004508008,0.205750096,0.004508008,0.120864619,0.001403032,0.210391654,0.000679744,0.109642944,0.000679744,0.052095365,0.000679744,0.234057691,0.021867079,0.044239328,0.001403032,0.004508008,0.000679744,0.000223569,0.000679744,0.000679744,0.003364077,0.001403032,0.004508008,0.005736748,0.002319005,0.032307779,0.005736748,0.008422402,0.001403032,0.002319005,0.004508008,0.000679744,0.069334612,0.001403032,0.005736748,0.002319005,0.014625972,0.001403032,0.005736748,0.001403032,0.039290772,0.27828968,0.009872187,0.008422402,0.144577627,0.018120344,0.000223569
Microtrichales,0.064883999,0.165263612,0.087450531,0.01005249,0.040592687,0.012892102,0.102629306,0.023069614,0.01005249,0.097433211,0.013899893,0.142778018,0.218460688,0.029812863,0.047468298,0.008312878,0.052972174,0.066987444,0.005935722,0.011914932,0.051104276,0.056808263,0.000637777,0.078014636,0.001054679,0.058776632,0.005206111,0.017107243,0.017107243,0.089894953,0.00384331,0.014938323,0.006696903,0.052972174,0.016007424,0.010968386,0.00030887,0.009167294,0.001054679,0.110678512,0.001054679,0.00153085,0.00153085,0.113429359,0.004508461,0.060778661,0.018237842,0.10527842,0.001054679,0.158680327,0.004508461,0.019399293,0.001054679,0.052972174,0.00030887,0.010968386,0.002052689,0.037351267,0.002613944,0.016007424,0.01005249,0.014938323,0.00030887,0.001054679,0.029812863,0.054873473,0.002052689,0.037351267,0.000637777,0.01005249,0.002052689,0.018237842,0.000637777,0.00030887,0.011914932,0.002052689,0.054873473,0.01005249,0.021815085,0.000637777,0.058776632,0.011914932,0.040592687,0.01005249,0.09488631,0.00030887,0.020591677,0.005206111,0.092373551,0.013899893,0.011914932,0.002052689,0.040592687,0.009167294,0.009167294,0.001054679,0.002052689,0.000637777,0.014938323,0.002052689,0.10527842,0.002052689,0.058776632,0.000637777,0.107961509,0.00030887,0.052972174,0.00030887,0.024355367,0.00030887,0.121884153,0.01005249,0.020591677,0.000637777,0.002052689,0.00030887,0.000101562,0.00030887,0.00030887,0.00153085,0.000637777,0.002052689,0.002613944,0.001054679,0.014938323,0.002613944,0.00384331,0.000637777,0.001054679,0.002052689,0.00030887,0.032731954,0.000637777,0.002613944,0.001054679,0.006696903,0.000637777,0.002613944,0.000637777,0.018237842,0.149042646,0.004508461,0.00384331,0.071296184,0.008312878,0.000101562
