Species,1-1A,10-2B,11-2C,12-2D,13-2E,14-2F,15-2G,16-2H,17-3A,18-3B,19-3C,2-1B,20-3D,21-3E,22-3F,23-3G,24-3H,25-4A,26-4B,27-4C,28-4D,29-4E,3-1C,30-4F,31-4G,32-4H,33-5A,34-5B,35-5C,36-5D,37-6E,38-5F,39-5G,4-1D,40-5H,5-1E,6-1F,7-1G,8-1H,9-2A
0319-6G20,0,0,0,34,0,0,0,0,0,0,11,2,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,4,15,0
4-29-1,0,112,180,218,0,0,0,11,0,0,61,0,28,1002,731,122,124,127,38,0,28,122,0,106,179,115,0,0,175,95,0,0,69,0,69,19,5,64,242,59
661239,0,7,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,23,7,0,0,16,0,16,20,15,0,0,0,0,0,0,19,0,0,0,0,0,15,0
67-14,41,0,19,17,0,0,84,61,0,0,0,42,0,0,0,21,0,0,19,14,0,27,20,68,102,69,121,94,0,0,0,0,143,0,0,129,11,236,0,133
A0839,0,8,17,22,0,0,0,0,35,0,0,0,28,26,41,44,25,17,0,13,35,0,8,0,0,0,0,0,0,14,35,37,0,9,0,0,0,0,16,0
A21b,81,73,84,100,109,118,76,83,84,85,197,88,138,35,24,281,259,44,0,52,34,0,99,0,0,0,40,34,209,93,186,428,456,129,295,0,0,0,98,0
A4b,16,38,40,39,58,210,94,110,256,296,102,6,56,666,419,122,104,136,91,58,49,86,0,259,128,188,119,152,55,95,78,56,342,0,387,141,90,123,134,68
ABY1,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AD3,13,0,0,0,15,0,6,11,0,0,12,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADurb.Bin063-1,178,40,135,226,60,85,133,62,146,146,72,24,37,39,31,163,128,291,212,119,131,155,142,226,154,248,159,219,155,49,71,53,238,151,68,108,206,131,89,169
ADurb.Bin120,0,0,0,0,0,0,0,0,0,0,0,0,0,86,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AKAU3564_sediment_group,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AKIW659,0,20,0,14,0,0,0,0,0,8,0,11,0,0,0,0,0,25,0,14,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AKYG1722,0,0,0,0,0,0,10,5,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0
AKYG587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,19,0,0,5,7,0,0,0,12,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT-s2-59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,24,10,0,0
AT-s3-28,0,0,0,0,0,0,0,22,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0
Acetobacteraceae,344,351,219,239,505,463,237,334,55,14,765,308,552,470,590,457,419,278,34,270,151,0,439,0,0,0,76,101,883,648,835,896,180,362,97,0,0,0,408,0
Acetobacteraceae_bacterium,0,86,41,45,0,0,24,17,0,56,68,0,0,320,559,93,46,89,0,14,39,0,20,0,0,0,29,33,66,26,16,30,60,0,0,0,0,0,84,0
Acetobacteroides_hydrogenigenes,0,0,0,0,0,0,0,0,0,0,0,0,0,16,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acidibacter,89,0,68,148,222,239,184,97,154,130,263,60,277,84,105,135,145,134,145,162,38,56,54,59,44,0,124,219,215,111,513,488,274,73,185,260,191,195,42,162
Acidimicrobiia,9,0,36,58,26,20,48,50,24,73,0,7,34,4,19,15,22,26,37,99,99,33,0,71,70,95,44,72,25,0,50,77,112,4,0,76,46,47,29,106
Acidisphaera_sp.,0,0,0,0,0,0,0,0,0,0,0,0,0,21,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0
Acidobacteria_bacterium,46,0,103,52,115,16,187,131,562,672,27,22,16,282,207,68,50,390,583,400,306,739,28,856,689,748,219,196,97,37,88,234,1768,20,291,412,370,351,41,420
Acidobacteriaceae_(Subgroup_1),32,69,79,108,163,165,16,40,0,0,198,37,201,0,0,64,82,29,0,29,6,0,41,0,0,0,6,15,84,69,243,368,20,16,27,0,0,0,50,0
Acidobacteriaceae_bacterium,0,0,0,0,19,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acidobacteriae,108,109,96,93,105,126,11,29,150,93,102,65,90,200,246,149,142,77,28,99,53,86,79,193,127,196,18,28,184,189,247,398,199,112,121,46,30,68,109,39
Acidobacteriales,29,0,0,0,69,54,0,0,11,34,161,21,127,136,223,268,209,66,0,51,55,0,40,0,41,29,23,11,115,108,112,147,97,52,67,0,0,0,60,0
Acidobacteriota,0,0,57,70,0,0,47,0,64,54,0,0,0,49,35,20,0,31,33,0,23,117,0,91,131,156,0,29,30,9,0,23,163,0,13,54,21,43,17,31
Acidothermus,259,464,182,91,518,515,203,220,53,73,449,259,410,522,698,251,237,122,9,27,0,0,366,0,0,0,79,70,1312,793,1138,1036,282,259,194,0,0,0,358,0
Acinetobacter,0,0,6,0,0,0,0,0,10,0,11,0,17,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,10,0,0
Actinoallomurus,0,43,0,0,0,17,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Actinobacteria,62,152,355,361,163,151,110,71,0,0,125,118,195,37,102,92,77,29,19,87,79,0,121,0,5,30,73,48,294,133,318,163,129,90,21,140,66,194,246,132
Actinobacteria_bacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
Actinobacteriota,0,0,0,7,0,7,0,0,0,0,0,0,8,0,0,0,6,8,0,0,0,0,0,0,0,0,14,14,0,0,4,0,10,0,0,0,0,0,0,0
Actinocorallia,0,0,0,0,0,8,0,0,0,13,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,17,15,0,0,62,18,0,0,0,15,0,14,0,0
Actinomadura,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,18
Actinomarinales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,88,0,0,23,0,57,24,26,0,0,0,0,0,0,17,0,0,222,156,194,0,209
Actinophytocola,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,12,0,0
Adhaeribacter,0,0,0,24,0,0,15,28,0,0,0,0,17,0,0,0,0,0,37,22,0,0,0,38,0,0,0,0,0,0,0,0,25,25,0,0,0,0,0,0
Adhaeribacter_terrae,23,13,32,0,38,29,39,0,48,0,15,13,21,0,0,38,19,34,18,0,0,0,26,20,0,0,0,17,5,0,20,22,109,0,75,18,43,80,30,24
Aetherobacter,0,0,0,0,16,12,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,15,24,0,35,0,0,0,0,0
Aetherobacter_rufus,61,0,0,0,0,24,46,15,0,0,0,0,26,0,0,39,0,23,23,42,0,17,0,23,0,0,0,45,0,0,0,40,0,0,0,0,0,0,0,0
Agromyces,5,0,0,10,0,16,0,0,0,0,0,0,0,0,0,0,0,27,47,0,0,12,0,24,21,18,18,54,0,0,0,0,23,5,17,135,125,108,0,37
Alcaligenaceae,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0
Algoriphagus_terrigena,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,14
Alkaliphilus,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0
Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium,22,17,0,58,0,27,39,11,45,60,53,0,23,0,0,60,52,121,53,23,0,0,15,26,26,49,26,37,15,0,0,21,0,0,0,28,25,38,0,12
Alphaproteobacteria,0,3,19,26,25,26,26,21,101,118,54,0,10,127,85,131,93,144,52,244,288,117,20,94,10,74,116,135,77,50,42,56,223,31,138,134,122,142,11,94
Alterococcus,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,33,0,14,0,0,0,0,0,0,98,0,21,15,0,27,0,24
Amaricoccus_macauensis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,19,0,0,0,0,0,0,0,0,0,0,23,33,25,0,0
Aminobacter,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,23,0,0
Ammoniphilus,176,108,87,32,152,175,285,278,49,62,162,103,113,25,43,139,80,136,98,52,46,22,151,20,23,21,173,103,312,163,402,287,25,35,4,81,65,109,102,46
Anaerobacterium,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,35,0,0,0,0,0,0,0
Anaerolinea,0,423,194,358,5,0,5,5,791,617,124,0,0,1045,1242,133,146,248,38,135,122,90,19,129,20,32,143,63,735,569,212,359,286,25,192,11,0,8,583,19
Anaerolinea_thermolimosa,184,145,263,301,53,11,56,66,2839,2424,43,63,19,1862,1672,175,268,270,174,294,165,11,69,14,0,0,211,234,704,679,100,143,195,197,284,53,79,30,335,29
Anaerolineaceae,384,426,269,451,172,127,201,346,4864,3989,334,220,137,3293,3695,137,220,1310,1436,423,560,680,106,788,346,483,1143,1037,2084,2008,647,672,1179,150,463,916,1428,1730,417,2284
Anaerolineae,0,5,0,0,0,7,0,15,147,89,23,0,0,66,41,14,27,9,3,0,35,12,0,23,46,64,0,0,21,20,134,95,31,20,49,0,0,10,15,26
Anaeromyxobacter,60,0,25,11,75,24,38,28,40,0,0,29,0,22,34,0,0,0,0,107,74,0,30,0,0,0,0,0,82,48,18,0,69,25,16,0,0,0,0,0
Anaerosinus,0,0,0,0,0,0,0,0,0,0,0,0,0,34,32,0,9,0,0,0,0,0,0,0,0,0,0,0,15,10,0,0,36,0,10,0,0,0,0,0
Anaerosporobacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Angustibacter_luteus,0,0,0,0,17,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,18,0,0,27,0,0,16,0,0,0,0,0,0
Aquicella,0,0,0,0,0,0,0,0,9,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aquicella_siphonis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aquihabitans_daechungensis,9,0,0,0,0,0,0,25,0,16,7,0,0,0,0,10,0,0,0,0,0,0,0,11,0,8,30,47,0,0,0,0,18,0,0,22,14,19,0,22
Aquisphaera,25,238,158,124,37,38,0,20,51,79,191,0,56,459,467,395,293,0,0,0,18,0,0,0,0,0,0,0,944,700,232,346,145,0,44,0,0,0,289,0
Aquisphaera_giovannonii,0,22,30,30,33,28,0,0,0,0,32,10,41,0,0,50,36,0,0,33,0,0,15,0,0,0,17,0,39,0,99,69,0,10,0,0,0,0,27,0
Arenimonas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,22,0,21,0,0,0,0,0,0,0,0,36,0,37,0,0,16,0,13
Arenimonas_daechungensis,11,0,0,18,0,13,54,48,26,47,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,48,83,0,0,0,0,26,16,0,12,17,30,0,27
Arenimonas_oryziterrae,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,21,0,0,0,0,0,0,0,0,0,0,0,0
Arthrobacter_deserti,10,0,0,0,14,63,70,104,0,0,0,0,0,0,0,0,0,14,0,0,0,0,12,0,0,0,22,0,0,0,26,35,0,0,0,0,0,0,0,0
Asticcacaulis,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,5,0,0,0,0,0,13,0,0,0,0,0,0,0,0,12,0,6,0,0,0,0,5,0
Aurantisolimonas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,5,0,0,0,0,0,0
Aurantisolimonas_haloimpatiens,0,0,0,15,0,0,21,0,0,25,0,0,0,0,0,20,0,17,9,16,9,0,0,11,7,0,22,21,0,0,0,0,51,0,12,0,0,0,0,0
Auxenochlorella_protothecoides,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0
Azospirillaceae,0,157,91,70,28,7,27,11,45,39,0,0,0,100,92,132,122,86,17,98,227,57,38,83,125,193,29,15,0,0,0,0,294,10,187,31,35,39,268,35
Azospirillum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,5,0,4,0,0,6,0,0
Azospirillum_sp.,0,0,0,0,29,25,29,19,47,63,26,0,20,10,11,46,37,16,0,24,0,0,0,0,0,0,19,0,0,16,0,0,26,23,0,0,0,0,0,0
BIrii41,49,18,34,101,78,97,162,98,87,87,59,23,34,68,19,41,17,55,66,60,42,26,7,58,8,23,101,147,50,0,111,80,187,29,46,103,140,0,0,106
BSV26,0,0,0,0,0,0,0,0,12,56,0,0,0,156,92,0,0,0,13,0,17,131,0,108,137,153,0,0,27,16,3,7,72,0,19,13,33,20,0,11
Babeliales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacillaceae,352,20,115,52,111,173,245,65,26,15,123,200,48,15,19,64,25,184,103,82,46,15,12,10,12,0,563,504,278,215,936,704,54,0,0,27,72,172,94,0
Bacillales,3209,1566,2027,1514,3773,4396,3833,3659,1236,1335,2855,1849,2218,562,931,3970,2353,2229,2174,3428,2042,1169,3040,1066,1062,1083,2954,2118,3849,2792,7934,5936,1055,1374,270,1782,2040,1996,2539,1103
Bacillus,3944,2331,2216,1348,2416,3301,3924,3608,1778,1674,4719,2181,2866,585,1183,3847,1923,4495,4204,1231,693,668,3400,673,660,699,2100,1861,5382,4291,8499,8477,957,1513,551,2126,2583,3576,4320,2002
Bacillus_andreesenii,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0
Bacteroidales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,10,23,0,0,0,0,0,0,0,0,0,0
Bacteroidetes_bacterium,0,0,0,0,12,0,0,0,0,0,0,0,9,0,0,0,0,10,19,0,0,34,0,0,0,21,38,24,0,0,0,0,0,0,0,29,0,10,0,23
Bacteroidetes_vadinHA17,0,0,0,0,0,0,0,0,87,73,0,0,0,218,172,0,11,26,0,0,0,38,0,24,0,0,7,0,27,27,0,0,0,0,0,0,0,7,0,15
Bacteroidia,14,0,18,9,0,0,45,13,0,0,7,13,0,0,0,23,14,28,17,19,14,23,11,0,0,0,0,25,0,0,0,4,10,0,0,14,25,18,0,33
Bathyarchaeia,0,23,0,31,0,0,0,0,86,120,0,0,0,510,365,0,11,0,0,0,0,0,0,0,0,0,0,0,174,204,0,0,0,0,0,0,0,0,0,0
Bauldia,0,0,0,0,0,0,0,0,48,87,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,12,0,0,0,0,0,89,0,0,25,39,15,0,0
Bdellovibrio,2,0,0,24,0,0,5,0,0,9,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
Bdellovibrio_sp.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,14
Beijerinckiaceae,59,44,64,64,156,180,44,67,253,187,85,29,70,64,71,33,91,0,0,79,41,0,70,0,7,10,44,68,150,172,142,246,33,48,21,0,0,0,82,0
Bellilinea,0,0,0,0,0,0,0,0,28,34,0,0,0,167,190,0,0,0,0,0,0,0,0,0,0,0,0,0,51,121,0,0,0,0,0,0,0,0,0,0
Betaproteobacteria_bacterium,53,12,46,68,55,48,148,103,135,195,61,0,62,0,0,87,99,56,50,22,0,61,21,61,0,23,85,88,11,0,23,26,37,21,23,133,114,114,24,65
Blastocatellaceae,44,32,47,77,40,41,27,36,60,121,18,51,16,27,35,36,28,0,12,0,0,19,39,0,25,62,79,67,9,0,43,59,141,39,28,31,41,24,0,0
Blastocatellia,194,148,71,113,185,58,298,138,66,114,184,112,202,71,37,278,282,147,28,163,257,0,152,60,34,42,158,118,63,15,98,198,269,117,144,25,19,31,187,29
Blastococcus,0,0,0,0,0,0,0,0,17,22,0,0,0,0,0,0,0,0,0,19,22,25,0,17,11,13,16,37,0,0,0,0,21,0,0,0,26,0,0,0
Blastopirellula,0,0,0,0,0,0,0,0,26,25,0,0,0,0,0,0,0,0,11,0,0,12,0,0,0,0,0,0,0,0,0,0,24,0,0,0,23,24,0,12
Bosea,0,0,0,0,20,36,17,26,0,0,0,0,7,0,0,22,17,13,20,10,0,14,5,19,7,15,16,30,0,0,23,0,14,0,0,22,39,14,0,11
Bradyrhizobium,92,142,162,181,268,230,314,227,34,96,101,97,107,52,39,243,255,31,0,158,34,9,122,0,0,0,61,122,67,51,105,150,21,134,0,0,0,0,231,5
Brevibacillus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,13,0,0,0,11,0,0,0,0,0,0,0,0
Bryobacter,55,52,24,55,132,148,28,101,16,98,32,57,7,131,115,90,70,143,16,146,78,0,81,20,0,0,0,52,185,56,166,303,158,38,100,24,16,58,39,71
Burkholderia-Caballeronia-Paraburkholderia,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Burkholderiales,420,360,338,690,807,826,614,465,863,811,592,234,293,1372,1286,766,956,1234,1169,1069,1777,1526,257,1827,1366,1555,503,540,1533,1214,387,1003,2047,267,849,798,946,1144,628,1198
C0119,0,0,0,0,0,0,0,0,0,0,0,0,0,11,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
CCM11a,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,11,0,20,0,12,0,0,0,0,0,0,0,0,6,0,0,0,0,0
CL500-29_marine_group,50,22,113,86,88,74,0,54,0,0,99,74,105,24,44,104,227,0,0,0,0,0,64,0,0,0,57,53,44,22,27,15,49,65,0,15,26,0,28,0
CL500-3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
CPla-3_termite_group,0,45,2,42,54,69,16,28,0,16,12,0,24,0,0,0,0,46,0,0,23,0,15,0,0,0,0,25,16,0,127,73,7,0,0,0,0,0,14,0
Caldilineaceae,0,35,33,18,0,0,32,32,76,146,0,0,0,0,0,16,43,107,145,5,0,286,0,301,312,386,61,56,0,0,0,0,137,0,39,187,187,330,37,343
Candidatus_Adlerbacteria,11,0,0,0,5,0,0,0,0,0,0,0,0,57,0,0,0,0,0,3,0,0,11,0,0,6,0,0,7,0,12,0,25,0,15,0,0,0,0,0
Candidatus_Alysiosphaera,89,43,171,156,91,64,433,309,42,0,124,92,185,24,0,574,454,124,270,283,193,301,76,255,297,435,101,148,0,0,28,46,251,54,24,519,647,417,101,356
Candidatus_Anammoximicrobium,0,0,0,0,0,0,0,0,0,13,0,0,0,16,12,0,0,22,9,0,0,9,0,0,0,0,0,9,16,29,0,0,0,0,0,0,0,0,0,0
Candidatus_Azambacteria,0,0,0,0,0,0,0,0,48,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,20,9,7,0,0,0
Candidatus_Falkowbacteria,0,0,0,0,0,0,0,0,0,0,0,0,0,7,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Candidatus_Jorgensenbacteria,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Candidatus_Kaiserbacteria,0,0,12,18,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Candidatus_Koribacter,32,65,48,59,162,117,0,40,0,49,45,13,22,101,144,54,75,6,0,47,117,0,18,0,0,0,0,0,172,84,123,129,11,8,0,0,0,0,178,0
Candidatus_Lumbricincola,0,2,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0
Candidatus_Magasanikbacteria,0,0,0,0,0,0,0,0,7,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Candidatus_Methanomassiliicoccus,0,0,0,0,0,0,0,0,21,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,9,0,0,0,0,0,0,0,0,0,0
Candidatus_Nitrocosmicus,0,0,0,0,0,0,294,251,51,85,14,11,0,0,0,59,58,188,282,88,11,240,0,207,124,198,295,360,0,0,97,173,290,35,68,290,331,396,0,170
Candidatus_Nitrosoarchaeum,0,0,0,0,0,0,0,0,9,0,0,0,0,29,23,0,0,0,0,0,5,0,0,19,5,14,0,0,5,17,0,0,0,0,17,0,0,0,0,0
Candidatus_Nitrosotalea,0,0,0,0,0,0,0,0,40,0,0,0,0,79,66,0,0,0,0,4,0,0,0,0,0,0,0,0,182,186,23,29,25,0,0,0,0,0,0,0
Candidatus_Nitrosotenuis,0,0,0,0,0,0,0,0,21,15,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0
Candidatus_Nostocoida,0,0,0,0,0,0,0,0,0,0,15,0,0,17,0,0,0,0,0,0,0,0,24,0,0,0,0,0,51,25,12,10,0,24,0,0,0,0,0,0
Candidatus_Peribacteria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0
Candidatus_Solibacter,561,868,896,923,782,822,166,361,284,305,1049,561,774,626,584,905,1154,747,154,566,590,80,497,109,121,69,125,146,699,525,1687,1517,944,561,523,32,38,51,1472,44
Candidatus_Sonnebornia,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Candidatus_Sulfuricurvum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Candidatus_Sumerlaeaceae,34,0,28,30,9,22,0,20,0,0,32,23,25,0,0,11,0,21,0,36,0,0,39,0,0,0,0,0,7,4,35,31,0,39,0,0,0,0,10,0
Candidatus_Udaeobacter,12270,14124,9647,8242,7689,5851,7042,6886,482,750,16515,9725,19048,2787,2098,15347,13456,5342,756,5244,2587,217,5208,309,248,302,3141,3100,7060,4756,11367,10729,4648,6247,2506,425,455,322,18713,360
Candidatus_Xiphinematobacter,5,557,815,984,98,59,321,231,275,220,862,13,803,505,194,1102,688,233,140,412,157,200,59,135,303,305,310,381,123,83,60,112,1228,0,152,508,548,604,936,655
Catellatospora,0,0,0,0,0,0,0,0,17,34,0,0,0,0,0,0,0,0,21,0,0,28,0,30,0,22,39,34,0,0,0,0,16,0,0,20,16,13,0,0
Catellatospora_sp.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,15,0,22,16,11,0,0,0,0,0,0,0,0,0,33,24,13,0,7
Catenulispora,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0
Catenulispora_acidiphila,0,14,0,0,25,44,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Catenulispora_yoronensis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Caulobacter,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,17,0,0,0,0,0
Caulobacter_sp.,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0
Caulobacteraceae,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,18,12,0,0,0,0,0,0,7,0
Cellulomonas,19,0,0,20,33,26,40,31,14,37,0,20,56,0,0,29,26,0,11,0,0,0,13,0,0,0,50,112,0,0,27,9,20,0,0,41,27,15,0,8
Cellulosilyticum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,40,0,0,0,0,0,0,0,0,0
Cellvibrio_vulgaris,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,41,0,0,0,0,0,0,0,16,12,0,0,0
Chitinivorax_tropicus,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0
Chitinophaga_sp.,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,15,0
Chitinophagaceae,209,93,196,302,274,429,262,278,118,231,397,125,232,268,153,372,374,264,128,234,285,87,225,72,52,93,130,252,245,158,528,557,692,192,513,107,103,122,240,117
Chitinophagaceae_bacterium,0,0,28,0,0,0,0,18,0,28,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
