Species,1-1A,10-2B,11-2C,12-2D,13-2E,14-2F,15-2G,16-2H,17-3A,18-3B,19-3C,2-1B,20-3D,21-3E,22-3F,23-3G,24-3H,25-4A,26-4B,27-4C,28-4D,29-4E,3-1C,30-4F,31-4G,32-4H,33-5A,34-5B,35-5C,36-5D,37-6E,38-5F,39-5G,4-1D,40-5H,5-1E,6-1F,7-1G,8-1H,9-2A
uncultured_Bacteroidetes,46,0,0,24,0,12,11,23,64,23,0,0,43,4,0,27,28,9,15,0,0,3,10,5,0,3,53,12,11,0,7,13,0,0,0,16,22,54,0,23
uncultured_Banisveld,0,0,36,64,60,65,56,74,0,54,80,42,131,0,41,85,90,59,0,78,23,23,23,29,0,0,0,0,0,0,0,0,22,30,0,0,0,0,46,0
uncultured_Bdellovibrio,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
uncultured_Bellilinea,0,23,0,0,0,0,0,0,100,84,0,0,0,470,710,13,8,12,0,0,0,0,0,0,0,0,0,0,368,316,18,35,38,0,0,0,0,0,10,0
uncultured_Bradyrhizobiaceae,727,1099,492,508,700,547,375,455,100,202,464,455,591,1724,2228,731,730,344,29,408,300,0,621,0,0,0,178,172,705,340,1052,1192,746,529,259,0,0,0,1086,0
uncultured_Bradyrhizobium,0,0,0,0,0,0,0,7,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
uncultured_Burkholderia,0,0,0,0,0,0,0,0,17,21,62,0,68,53,103,0,0,0,0,0,0,0,0,0,0,0,0,0,59,20,141,67,0,0,0,0,0,0,0,0
uncultured_Burkholderiaceae,91,182,173,207,128,196,63,53,357,392,149,24,114,180,136,135,176,198,47,142,124,65,25,100,25,56,94,134,188,118,106,257,123,56,125,23,22,0,225,0
uncultured_Burkholderiales,0,30,0,12,17,11,16,35,28,34,0,0,20,21,0,72,57,0,0,64,102,65,0,65,33,22,0,10,0,0,0,13,208,0,196,12,17,5,60,0
uncultured_Byssovorax,122,82,115,103,78,84,104,63,0,0,55,80,66,0,45,107,64,33,29,124,70,0,100,0,0,0,52,57,53,21,102,80,136,57,0,0,0,0,89,0
uncultured_Caldilinea,0,0,0,0,0,0,0,0,36,34,41,0,20,12,17,0,0,19,0,0,0,0,0,0,0,0,0,21,110,71,15,0,17,13,34,22,23,0,0,0
uncultured_Caldilineaceae,5,0,0,0,3,6,73,40,88,94,5,24,0,0,0,6,8,78,138,63,182,318,0,329,339,359,305,278,0,0,0,0,571,0,117,225,117,180,0,236
uncultured_Caldilineae,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,28,32,0,0,54,0,44,86,131,0,15,0,0,0,0,104,0,34,25,84,77,0,47
uncultured_Caldilineales,304,170,212,303,258,284,492,365,246,222,289,128,266,78,0,377,360,398,167,330,243,261,241,309,333,383,297,384,32,0,146,58,702,144,326,110,166,213,227,288
uncultured_Candidatus,18,56,43,48,131,146,13,15,74,9,101,16,0,307,655,88,88,28,16,27,27,0,29,0,9,0,0,0,468,336,51,108,64,34,52,0,0,0,128,0
uncultured_Catenulispora,6,27,12,23,6,0,61,59,20,44,0,0,0,44,40,34,50,78,61,150,57,177,7,253,266,271,44,62,16,6,42,85,269,0,50,139,109,142,26,137
uncultured_Catenuloplanes,0,38,0,0,5,0,31,21,21,38,0,0,0,45,20,30,36,30,0,121,85,0,11,0,0,0,11,0,0,0,17,30,211,0,84,0,0,0,60,0
uncultured_Caulobacterales,86,298,294,304,139,81,157,156,97,177,44,0,33,139,139,248,277,572,468,538,478,150,160,126,128,181,477,438,114,70,75,212,473,82,74,142,95,79,364,71
