,1-1A,10-2B,11-2C,12-2D,13-2E,14-2F,15-2G,16-2H,17-3A,18-3B,19-3C,2-1B,20-3D,21-3E,22-3F,23-3G,24-3H,25-4A,26-4B,27-4C,28-4D,29-4E,3-1C,30-4F,31-4G,32-4H,33-5A,34-5B,35-5C,36-5D,37-6E,38-5F,39-5G,4-1D,40-5H,5-1E,6-1F,7-1G,8-1H,9-2A
Acidobacteria_bacterium,0.96070685,0.957818105,0.96664362,0.972201756,0.975546006,0.979071133,0.983044983,0.977565749,0.987023965,0.988566183,0.972869095,0.948868338,0.966924281,0.975546006,0.975351766,0.981600066,0.979701406,0.980457868,0.971974889,0.975738406,0.973303199,0.975546006,0.962058986,0.981461681,0.973303199,0.974555962,0.981461681,0.984917151,0.977213857,0.968809801,0.981322068,0.983293204,0.991826715,0.952095017,0.978909946,0.978747281,0.976304775,0.9821416,0.966924281,0.978583118
Acidobacteriaceae_(Subgroup_1),0.555587111,0.537260556,0.597060751,0.641353315,0.671031926,0.705188115,0.747767979,0.690215925,0.795473895,0.815527159,0.647079947,0.486882605,0.599161603,0.671031926,0.669238998,0.73174403,0.711637122,0.719523489,0.639427751,0.672816652,0.650856044,0.671031926,0.564561397,0.730242903,0.650856044,0.661985021,0.730242903,0.76952863,0.686800867,0.613634732,0.728734269,0.750586742,0.861204431,0.504024303,0.703556255,0.701916511,0.678121752,0.737673951,0.599161603,0.700268863
Acidobacteriaceae_bacterium,0.028191068,0.026234215,0.033240128,0.039841755,0.045192899,0.052585402,0.064363399,0.049158556,0.082778322,0.093037969,0.040808628,0.021543398,0.033522137,0.045192899,0.0448442,0.059527935,0.054162759,0.05618257,0.03952312,0.04554354,0.041462423,0.045192899,0.029206286,0.059101995,0.041462423,0.043468688,0.059101995,0.071905963,0.048419568,0.035543455,0.058678292,0.065272676,0.125857225,0.023037435,0.052196339,0.051809371,0.046607203,0.061254238,0.033522137,0.05142449
Acidobacteriales,0.584918181,0.566858196,0.62549965,0.668402295,0.696900387,0.72945359,0.769673464,0.715216068,0.814265369,0.832863294,0.673916618,0.516804505,0.627544723,0.696900387,0.695184404,0.754584412,0.73557083,0.74303899,0.666546451,0.698607805,0.677548661,0.696900387,0.59373328,0.753167983,0.677548661,0.688234364,0.753167983,0.790074823,0.711961598,0.641606032,0.751743973,0.772321963,0.874906411,0.533903528,0.72790422,0.72634677,0.703678894,0.760174913,0.627544723,0.724781212
Acidobacteriota,0.527002101,0.50853949,0.569074296,0.61445671,0.645129525,0.680695388,0.725435428,0.665070101,0.776100486,0.79756988,0.620358592,0.458188028,0.571216273,0.645129525,0.643270474,0.708545705,0.687442702,0.695707823,0.612473994,0.646980848,0.624254575,0.645129525,0.536071617,0.706966749,0.624254575,0.635756947,0.706966749,0.748474687,0.66151378,0.586001228,0.705380461,0.72841312,0.846858595,0.475255181,0.678989669,0.67727637,0.652488492,0.714788559,0.571216273,0.675555479
Acidothermus,0.677532675,0.661168023,0.71349464,0.750340174,0.774175532,0.800801572,0.832845272,0.789233873,0.86731531,0.881375121,0.754991376,0.614603103,0.71527792,0.774175532,0.772754381,0.820931866,0.805735213,0.811728951,0.748770545,0.775587819,0.758044595,0.774175532,0.685438668,0.819806923,0.758044595,0.766980161,0.819806923,0.848750712,0.786572854,0.727465479,0.818674806,0.834923162,0.912497214,0.630714251,0.799548518,0.798287513,0.779771984,0.82536078,0.71527792,0.79701851
Acinetobacter,0.106528757,0.099692,0.123820562,0.145700614,0.162858072,0.18575338,0.220418853,0.175253644,0.270570876,0.296579811,0.148838225,0.082985898,0.124771871,0.162858072,0.161755301,0.206446214,0.190521974,0.196570019,0.144662925,0.163964877,0.150950391,0.162858072,0.11004562,0.205198397,0.150950391,0.157384642,0.205198397,0.241528267,0.172963915,0.131546471,0.20395436,0.223007291,0.371767713,0.0883562,0.184570996,0.183392533,0.167309442,0.211475087,0.124771871,0.182217997
Actinoallomurus,0.058147722,0.054227492,0.068185614,0.081145023,0.091514866,0.105646171,0.127706672,0.099123276,0.161123724,0.179196521,0.083027561,0.044761411,0.068743018,0.091514866,0.090842763,0.118716196,0.108632647,0.112442242,0.080523767,0.092190208,0.084298302,0.091514866,0.06017494,0.117919848,0.084298302,0.088186597,0.117919848,0.141549252,0.097710367,0.072728272,0.117126969,0.129387065,0.234548527,0.047786981,0.104908,0.104173195,0.094235735,0.121936407,0.068743018,0.10344175
Actinobacteria,0.848111053,0.83833746,0.868735423,0.888729956,0.901094617,0.914410558,0.929781249,0.908687997,0.94556797,0.951796658,0.891176859,0.809090143,0.869728867,0.901094617,0.9003694,0.924147409,0.916822655,0.919730413,0.887900407,0.901813831,0.892774005,0.901094617,0.852743889,0.92361055,0.892774005,0.897407325,0.92361055,0.937158816,0.90735811,0.876447131,0.92306941,0.930754322,0.965173201,0.81945925,0.913795227,0.913174882,0.903936013,0.926252811,0.869728867,0.912549474
Actinobacteria_bacterium,0.028191068,0.026234215,0.033240128,0.039841755,0.045192899,0.052585402,0.064363399,0.049158556,0.082778322,0.093037969,0.040808628,0.021543398,0.033522137,0.045192899,0.0448442,0.059527935,0.054162759,0.05618257,0.03952312,0.04554354,0.041462423,0.045192899,0.029206286,0.059101995,0.041462423,0.043468688,0.059101995,0.071905963,0.048419568,0.035543455,0.058678292,0.065272676,0.125857225,0.023037435,0.052196339,0.051809371,0.046607203,0.061254238,0.033522137,0.05142449
