,degree,betweenness,closeness,eigenvector,clustering
Oxalobacteraceae,249,0.004337579801160444,0.816793893129771,0.08014288693002458,0.6190244850369219
Chitinophaga,247,0.004794863324299597,0.8126582278481013,0.07785964585889707,0.5959316678187024
Haliangium,246,0.0044183817291793505,0.8106060606060606,0.07954992909406824,0.6252862120457939
Candidatus_Udaeobacter,246,0.0034320368709081775,0.8106060606060606,0.08017092467555048,0.6348432055749129
Lechevalieria,244,0.003586521664024812,0.8065326633165829,0.07940102975707532,0.6332388855157526
Chitinophagaceae,244,0.003314064646318777,0.8065326633165829,0.07959980783422041,0.6364096336773932
Planococcaceae,242,0.0050039972120346134,0.800498753117207,0.076529657845217,0.6023455985734372
Kutzneria,242,0.0033001068944256183,0.8025,0.07885710551528514,0.6369808991461198
Lacunisphaera,241,0.002837458021189966,0.800498753117207,0.07974157545876114,0.6568118948824343
uncultured_Alphaproteobacteria,240,0.003524878885975163,0.7985074626865671,0.07799429296247741,0.6346931659693166
Rhodopseudomonas,239,0.003684408300138085,0.7965260545905707,0.07745403754381412,0.6322562497802469
Yersiniaceae,239,0.003871599455954979,0.7965260545905707,0.07787880638236636,0.6373545233993179
Burkholderia-Caballeronia-Paraburkholderia,238,0.0036951205672490646,0.7945544554455446,0.0771603903947601,0.6315994752331312
Sphingobium,238,0.0029507224069926924,0.7945544554455446,0.07860567510721203,0.6534056660638939
Puia,237,0.0032856429700667384,0.7925925925925926,0.07750472391715553,0.642244153615104
Polaromonas,237,0.0029813629274262773,0.7925925925925926,0.07829582968363198,0.6544732889937782
Pedobacter,237,0.004014771596232632,0.7925925925925926,0.07751179360681756,0.642244153615104
Amycolatopsis_saalfeldensis,236,0.002649421355232952,0.7906403940886699,0.07856026636463624,0.6648395239812478
Bacillales,235,0.004431323837299937,0.7886977886977887,0.07476605114927652,0.6122931442080378
Nocardioides,235,0.002493574238372257,0.7886977886977887,0.07874355750867705,0.6745226404800873
Amycolatopsis,234,0.0031500393677180525,0.7867647058823529,0.07676947366587211,0.6478485748872015
Kribbella,230,0.0030018902862968804,0.779126213592233,0.07586225641078904,0.6558192519460794
A4b,228,0.002515549475209452,0.7753623188405797,0.0764892538486241,0.6778730968390139
Cellulomonas,228,0.0022298792753395217,0.7753623188405797,0.07699492554580448,0.6872633124661875
uncultured_proteobacterium,227,0.0030282620384966185,0.7734939759036145,0.07522843046460927,0.6643015866827804
Sphingomonas_oligoaromativorans,225,0.0031129825023106738,0.7697841726618705,0.0742573617550606,0.6584126984126984
uncultured_Conexibacteraceae,223,0.002806359744622697,0.766109785202864,0.07475583578121943,0.680644770330869
Subgroup_7,222,0.0019460152842017218,0.7642857142857142,0.0758317241048098,0.7054747054747055
uncultured_Chloroflexaceae,220,0.00197671332356823,0.7606635071090048,0.0747998569725106,0.7004151100041511
uncultured_Niastella,220,0.002990774029136497,0.7606635071090048,0.07169766617821684,0.6480282274802823
R7C24,219,0.002021321647610871,0.7588652482269503,0.07446413402979127,0.6978760839512379
Tardiphaga,219,0.0026300024012341377,0.7588652482269503,0.07288972970329148,0.6712328767123288
Flavobacterium,219,0.002023542312137591,0.7588652482269503,0.07448671894082548,0.697750408445394
Brevundimonas,219,0.0034419825747860813,0.7588652482269503,0.07302025445336852,0.6742490888525826
Edaphobacter_acidisoli,218,0.010477750120905314,0.7570754716981132,0.07101992143183782,0.6401302160402486
Phenylobacterium,216,0.0027391251361447173,0.7535211267605634,0.0730697754108588,0.6920757967269595
Xanthomonas,215,0.0020912550136061737,0.7517564402810304,0.0730034316945493,0.6983699195826994
Catenulispora_acidiphila,215,0.0017281872696102026,0.7517564402810304,0.07423872343705716,0.7207998261247555
Flavitalea_antarctica,214,0.002135267024846801,0.75,0.07295880300938005,0.7034794436400333
